═══════════════════════════════════════════════════════════
🎬 ZOOM RECORDING LOG
═══════════════════════════════════════════════════════════

--- DEVICE INFO ---
Screen: 384 x 749 dp
DPR: 2.81

--- TIMELINE INFO ---
Memories: 67
Content Width: 2560 px

--- RECORDING (1444 snapshots) ---

1760285031915 | 100% | scale:0.14 | painterZoom:1.00 | LVL1-Yearly→LVL1-Yearly | Single:1.7-4.3px | Cluster:1.5-3.7px | Years:13
1760285034023 | 104% | scale:0.15 | painterZoom:1.04 | LVL1-Yearly→LVL1-Yearly | Single:1.8-4.4px | Cluster:1.5-3.8px | Years:13
1760285034023 | 104% | scale:0.15 | painterZoom:1.04 | LVL1-Yearly→LVL1-Yearly | Single:1.8-4.4px | Cluster:1.5-3.8px | Years:13
1760285034023 | 103% | scale:0.15 | painterZoom:1.03 | LVL1-Yearly→LVL1-Yearly | Single:1.8-4.4px | Cluster:1.5-3.8px | Years:13
1760285034023 | 103% | scale:0.15 | painterZoom:1.03 | LVL1-Yearly→LVL1-Yearly | Single:1.8-4.4px | Cluster:1.5-3.8px | Years:13
1760285034033 | 108% | scale:0.15 | painterZoom:1.08 | LVL1-Yearly→LVL1-Yearly | Single:1.8-4.6px | Cluster:1.6-4.0px | Years:13
1760285034033 | 108% | scale:0.15 | painterZoom:1.08 | LVL1-Yearly→LVL1-Yearly | Single:1.8-4.6px | Cluster:1.6-4.0px | Years:13
1760285034033 | 107% | scale:0.15 | painterZoom:1.07 | LVL1-Yearly→LVL1-Yearly | Single:1.8-4.6px | Cluster:1.6-4.0px | Years:13
1760285034033 | 107% | scale:0.15 | painterZoom:1.07 | LVL1-Yearly→LVL1-Yearly | Single:1.8-4.6px | Cluster:1.6-4.0px | Years:13
1760285034036 | 112% | scale:0.16 | painterZoom:1.12 | LVL1-Yearly→LVL1-Yearly | Single:1.9-4.8px | Cluster:1.7-4.2px | Years:13
1760285034036 | 112% | scale:0.16 | painterZoom:1.12 | LVL1-Yearly→LVL1-Yearly | Single:1.9-4.8px | Cluster:1.7-4.2px | Years:13
1760285034036 | 112% | scale:0.16 | painterZoom:1.12 | LVL1-Yearly→LVL1-Yearly | Single:1.9-4.8px | Cluster:1.7-4.1px | Years:13
1760285034036 | 112% | scale:0.16 | painterZoom:1.12 | LVL1-Yearly→LVL1-Yearly | Single:1.9-4.8px | Cluster:1.7-4.1px | Years:13
1760285034048 | 117% | scale:0.17 | painterZoom:1.17 | LVL1-Yearly→LVL1-Yearly | Single:2.0-5.0px | Cluster:1.7-4.3px | Years:13
1760285034048 | 117% | scale:0.17 | painterZoom:1.17 | LVL1-Yearly→LVL1-Yearly | Single:2.0-5.0px | Cluster:1.7-4.3px | Years:13
1760285034048 | 117% | scale:0.17 | painterZoom:1.17 | LVL1-Yearly→LVL1-Yearly | Single:2.0-5.0px | Cluster:1.7-4.3px | Years:13
1760285034048 | 117% | scale:0.17 | painterZoom:1.17 | LVL1-Yearly→LVL1-Yearly | Single:2.0-5.0px | Cluster:1.7-4.3px | Years:13
1760285034053 | 123% | scale:0.17 | painterZoom:1.23 | LVL1-Yearly→LVL1-Yearly | Single:2.1-5.2px | Cluster:1.8-4.5px | Years:13
1760285034053 | 123% | scale:0.17 | painterZoom:1.23 | LVL1-Yearly→LVL1-Yearly | Single:2.1-5.2px | Cluster:1.8-4.5px | Years:13
1760285034053 | 122% | scale:0.17 | painterZoom:1.22 | LVL1-Yearly→LVL1-Yearly | Single:2.1-5.2px | Cluster:1.8-4.5px | Years:13
1760285034053 | 122% | scale:0.17 | painterZoom:1.22 | LVL1-Yearly→LVL1-Yearly | Single:2.1-5.2px | Cluster:1.8-4.5px | Years:13
1760285034061 | 128% | scale:0.18 | painterZoom:1.28 | LVL1-Yearly→LVL1-Yearly | Single:2.2-5.5px | Cluster:1.9-4.8px | Years:13
1760285034061 | 128% | scale:0.18 | painterZoom:1.28 | LVL1-Yearly→LVL1-Yearly | Single:2.2-5.5px | Cluster:1.9-4.8px | Years:13
1760285034061 | 128% | scale:0.18 | painterZoom:1.28 | LVL1-Yearly→LVL1-Yearly | Single:2.2-5.5px | Cluster:1.9-4.7px | Years:13
1760285034061 | 128% | scale:0.18 | painterZoom:1.28 | LVL1-Yearly→LVL1-Yearly | Single:2.2-5.5px | Cluster:1.9-4.7px | Years:13
1760285034078 | 140% | scale:0.20 | painterZoom:1.40 | LVL1-Yearly→LVL1-Yearly | Single:2.4-6.0px | Cluster:2.1-5.2px | Years:13
1760285034078 | 140% | scale:0.20 | painterZoom:1.40 | LVL1-Yearly→LVL1-Yearly | Single:2.4-6.0px | Cluster:2.1-5.2px | Years:13
1760285034078 | 139% | scale:0.20 | painterZoom:1.39 | LVL1-Yearly→LVL1-Yearly | Single:2.4-6.0px | Cluster:2.1-5.2px | Years:13
1760285034078 | 139% | scale:0.20 | painterZoom:1.39 | LVL1-Yearly→LVL1-Yearly | Single:2.4-6.0px | Cluster:2.1-5.2px | Years:13
1760285034096 | 150% | scale:0.21 | painterZoom:1.50 | LVL1-Yearly→LVL1-Yearly | Single:2.6-6.4px | Cluster:2.2-5.6px | Years:13
1760285034096 | 150% | scale:0.21 | painterZoom:1.50 | LVL1-Yearly→LVL1-Yearly | Single:2.6-6.4px | Cluster:2.2-5.6px | Years:13
1760285034096 | 149% | scale:0.21 | painterZoom:1.49 | LVL1-Yearly→LVL1-Yearly | Single:2.6-6.4px | Cluster:2.2-5.5px | Years:13
1760285034096 | 149% | scale:0.21 | painterZoom:1.49 | LVL1-Yearly→LVL1-Yearly | Single:2.6-6.4px | Cluster:2.2-5.5px | Years:13
1760285034112 | 159% | scale:0.23 | painterZoom:1.59 | LVL1-Yearly→LVL1-Yearly | Single:2.7-6.8px | Cluster:2.4-5.9px | Years:13
1760285034112 | 159% | scale:0.23 | painterZoom:1.59 | LVL1-Yearly→LVL1-Yearly | Single:2.7-6.8px | Cluster:2.4-5.9px | Years:13
1760285034113 | 158% | scale:0.23 | painterZoom:1.58 | LVL1-Yearly→LVL1-Yearly | Single:2.7-6.8px | Cluster:2.3-5.9px | Years:13
1760285034113 | 158% | scale:0.23 | painterZoom:1.58 | LVL1-Yearly→LVL1-Yearly | Single:2.7-6.8px | Cluster:2.3-5.9px | Years:13
1760285034128 | 167% | scale:0.24 | painterZoom:1.67 | LVL1-Yearly→LVL1-Yearly | Single:2.8-7.1px | Cluster:2.5-6.2px | Years:13
1760285034128 | 167% | scale:0.24 | painterZoom:1.67 | LVL1-Yearly→LVL1-Yearly | Single:2.8-7.1px | Cluster:2.5-6.2px | Years:13
1760285034128 | 166% | scale:0.24 | painterZoom:1.66 | LVL1-Yearly→LVL1-Yearly | Single:2.8-7.1px | Cluster:2.5-6.2px | Years:13
1760285034128 | 166% | scale:0.24 | painterZoom:1.66 | LVL1-Yearly→LVL1-Yearly | Single:2.8-7.1px | Cluster:2.5-6.2px | Years:13
1760285034142 | 170% | scale:0.24 | painterZoom:1.70 | LVL1-Yearly→LVL1-Yearly | Single:2.9-7.3px | Cluster:2.5-6.3px | Years:13
1760285034142 | 170% | scale:0.24 | painterZoom:1.70 | LVL1-Yearly→LVL1-Yearly | Single:2.9-7.3px | Cluster:2.5-6.3px | Years:13
1760285034142 | 170% | scale:0.24 | painterZoom:1.70 | LVL1-Yearly→LVL1-Yearly | Single:2.9-7.3px | Cluster:2.5-6.3px | Years:13
1760285034142 | 170% | scale:0.24 | painterZoom:1.70 | LVL1-Yearly→LVL1-Yearly | Single:2.9-7.3px | Cluster:2.5-6.3px | Years:13
1760285034144 | 174% | scale:0.25 | painterZoom:1.74 | LVL1-Yearly→LVL1-Yearly | Single:3.0-7.5px | Cluster:2.6-6.5px | Years:13
1760285034144 | 174% | scale:0.25 | painterZoom:1.74 | LVL1-Yearly→LVL1-Yearly | Single:3.0-7.5px | Cluster:2.6-6.5px | Years:13
1760285034144 | 174% | scale:0.25 | painterZoom:1.74 | LVL1-Yearly→LVL1-Yearly | Single:3.0-7.5px | Cluster:2.6-6.5px | Years:13
1760285034144 | 174% | scale:0.25 | painterZoom:1.74 | LVL1-Yearly→LVL1-Yearly | Single:3.0-7.5px | Cluster:2.6-6.5px | Years:13
1760285034152 | 179% | scale:0.25 | painterZoom:1.79 | LVL1-Yearly→LVL1-Yearly | Single:3.1-7.6px | Cluster:2.6-6.6px | Years:13
1760285034152 | 179% | scale:0.25 | painterZoom:1.79 | LVL1-Yearly→LVL1-Yearly | Single:3.1-7.6px | Cluster:2.6-6.6px | Years:13
1760285034152 | 179% | scale:0.25 | painterZoom:1.79 | LVL1-Yearly→LVL1-Yearly | Single:3.1-7.6px | Cluster:2.6-6.6px | Years:13
1760285034152 | 179% | scale:0.25 | painterZoom:1.79 | LVL1-Yearly→LVL1-Yearly | Single:3.1-7.6px | Cluster:2.6-6.6px | Years:13
1760285034161 | 183% | scale:0.26 | painterZoom:1.83 | LVL1-Yearly→LVL1-Yearly | Single:3.1-7.8px | Cluster:2.7-6.8px | Years:13
1760285034161 | 183% | scale:0.26 | painterZoom:1.83 | LVL1-Yearly→LVL1-Yearly | Single:3.1-7.8px | Cluster:2.7-6.8px | Years:13
1760285034161 | 183% | scale:0.26 | painterZoom:1.83 | LVL1-Yearly→LVL1-Yearly | Single:3.1-7.8px | Cluster:2.7-6.8px | Years:13
