═══════════════════════════════════════════════════════════
🎬 ZOOM RECORDING LOG
═══════════════════════════════════════════════════════════

--- DEVICE INFO ---
Screen: 384 x 749 dp
DPR: 2.81

--- TIMELINE INFO ---
Memories: 6
Content Width: 800 px

--- RECORDING (2133 snapshots) ---

1760285116562 | 134% | scale:0.61 | painterZoom:1.34 | LVL1-Yearly→LVL1-Yearly | Single:7.4-18.4px | Cluster:6.4-15.9px | Years:2
1760285116562 | 134% | scale:0.61 | painterZoom:1.34 | LVL1-Yearly→LVL1-Yearly | Single:7.4-18.4px | Cluster:6.4-15.9px | Years:2
1760285116562 | 135% | scale:0.61 | painterZoom:1.35 | LVL1-Yearly→LVL1-Yearly | Single:7.4-18.4px | Cluster:6.4-16.0px | Years:2
1760285116562 | 135% | scale:0.61 | painterZoom:1.35 | LVL1-Yearly→LVL1-Yearly | Single:7.4-18.4px | Cluster:6.4-16.0px | Years:2
1760285116572 | 137% | scale:0.63 | painterZoom:1.37 | LVL1-Yearly→LVL1-Yearly | Single:7.5-18.8px | Cluster:6.5-16.3px | Years:2
1760285116572 | 137% | scale:0.63 | painterZoom:1.37 | LVL1-Yearly→LVL1-Yearly | Single:7.5-18.8px | Cluster:6.5-16.3px | Years:2
1760285116572 | 137% | scale:0.63 | painterZoom:1.37 | LVL1-Yearly→LVL1-Yearly | Single:7.5-18.8px | Cluster:6.5-16.3px | Years:2
1760285116572 | 137% | scale:0.63 | painterZoom:1.37 | LVL1-Yearly→LVL1-Yearly | Single:7.5-18.8px | Cluster:6.5-16.3px | Years:2
1760285116579 | 140% | scale:0.64 | painterZoom:1.40 | LVL1-Yearly→LVL1-Yearly | Single:7.7-19.1px | Cluster:6.6-16.6px | Years:2
1760285116579 | 140% | scale:0.64 | painterZoom:1.40 | LVL1-Yearly→LVL1-Yearly | Single:7.7-19.1px | Cluster:6.6-16.6px | Years:2
1760285116579 | 140% | scale:0.64 | painterZoom:1.40 | LVL1-Yearly→LVL1-Yearly | Single:7.7-19.2px | Cluster:6.6-16.6px | Years:2
1760285116579 | 140% | scale:0.64 | painterZoom:1.40 | LVL1-Yearly→LVL1-Yearly | Single:7.7-19.2px | Cluster:6.6-16.6px | Years:2
1760285116588 | 143% | scale:0.65 | painterZoom:1.43 | LVL1-Yearly→LVL1-Yearly | Single:7.8-19.5px | Cluster:6.8-16.9px | Years:2
1760285116588 | 143% | scale:0.65 | painterZoom:1.43 | LVL1-Yearly→LVL1-Yearly | Single:7.8-19.5px | Cluster:6.8-16.9px | Years:2
1760285116588 | 143% | scale:0.65 | painterZoom:1.43 | LVL1-Yearly→LVL1-Yearly | Single:7.8-19.5px | Cluster:6.8-16.9px | Years:2
1760285116588 | 143% | scale:0.65 | painterZoom:1.43 | LVL1-Yearly→LVL1-Yearly | Single:7.8-19.5px | Cluster:6.8-16.9px | Years:2
1760285116596 | 145% | scale:0.66 | painterZoom:1.45 | LVL1-Yearly→LVL1-Yearly | Single:8.0-19.9px | Cluster:6.9-17.2px | Years:2
1760285116596 | 145% | scale:0.66 | painterZoom:1.45 | LVL1-Yearly→LVL1-Yearly | Single:8.0-19.9px | Cluster:6.9-17.2px | Years:2
1760285116596 | 145% | scale:0.66 | painterZoom:1.45 | LVL1-Yearly→LVL1-Yearly | Single:8.0-19.9px | Cluster:6.9-17.3px | Years:2
1760285116596 | 145% | scale:0.66 | painterZoom:1.45 | LVL1-Yearly→LVL1-Yearly | Single:8.0-19.9px | Cluster:6.9-17.3px | Years:2
1760285116604 | 148% | scale:0.68 | painterZoom:1.48 | LVL1-Yearly→LVL1-Yearly | Single:8.1-20.3px | Cluster:7.0-17.6px | Years:2
1760285116604 | 148% | scale:0.68 | painterZoom:1.48 | LVL1-Yearly→LVL1-Yearly | Single:8.1-20.3px | Cluster:7.0-17.6px | Years:2
1760285116604 | 148% | scale:0.68 | painterZoom:1.48 | LVL1-Yearly→LVL1-Yearly | Single:8.1-20.3px | Cluster:7.0-17.6px | Years:2
1760285116604 | 148% | scale:0.68 | painterZoom:1.48 | LVL1-Yearly→LVL1-Yearly | Single:8.1-20.3px | Cluster:7.0-17.6px | Years:2
1760285116613 | 151% | scale:0.69 | painterZoom:1.51 | LVL1-Yearly→LVL1-Yearly | Single:8.3-20.6px | Cluster:7.2-17.9px | Years:2
