═══════════════════════════════════════════════════════════
🎬 ZOOM RECORDING LOG
═══════════════════════════════════════════════════════════

--- DEVICE INFO ---
Screen: 690 x 750 dp
DPR: 2.63

--- TIMELINE INFO ---
Memories: 6
Content Width: 800 px

--- RECORDING (5029 snapshots) ---

1760244362343 | 119% | scale:0.98 | painterZoom:1.19 | LVL1-Yearly→LVL2-Monthly | Single:11.7-29.3px | Cluster:10.2-25.4px | Years:2
1760244362352 | 121% | scale:0.99 | painterZoom:1.21 | LVL1-Yearly→LVL2-Monthly | Single:11.9-29.7px | Cluster:10.3-25.7px | Years:2
1760244362352 | 121% | scale:0.99 | painterZoom:1.21 | LVL1-Yearly→LVL2-Monthly | Single:11.9-29.7px | Cluster:10.3-25.7px | Years:2
1760244362352 | 121% | scale:0.99 | painterZoom:1.21 | LVL1-Yearly→LVL2-Monthly | Single:11.9-29.7px | Cluster:10.3-25.7px | Years:2
1760244362352 | 121% | scale:0.99 | painterZoom:1.21 | LVL1-Yearly→LVL2-Monthly | Single:11.9-29.7px | Cluster:10.3-25.7px | Years:2
1760244362360 | 123% | scale:1.01 | painterZoom:1.23 | LVL1-Yearly→LVL2-Monthly | Single:12.1-30.2px | Cluster:10.5-26.2px | Years:2
1760244362360 | 123% | scale:1.01 | painterZoom:1.23 | LVL1-Yearly→LVL2-Monthly | Single:12.1-30.2px | Cluster:10.5-26.2px | Years:2
1760244362368 | 125% | scale:1.02 | painterZoom:1.25 | LVL1-Yearly→LVL2-Monthly | Single:12.3-30.7px | Cluster:10.6-26.6px | Years:2
1760244362368 | 125% | scale:1.02 | painterZoom:1.25 | LVL1-Yearly→LVL2-Monthly | Single:12.3-30.7px | Cluster:10.6-26.6px | Years:2
1760244362368 | 125% | scale:1.02 | painterZoom:1.25 | LVL1-Yearly→LVL2-Monthly | Single:12.3-30.7px | Cluster:10.6-26.6px | Years:2
1760244362368 | 125% | scale:1.02 | painterZoom:1.25 | LVL1-Yearly→LVL2-Monthly | Single:12.3-30.7px | Cluster:10.6-26.6px | Years:2
1760244362378 | 127% | scale:1.04 | painterZoom:1.27 | LVL1-Yearly→LVL2-Monthly | Single:12.5-31.3px | Cluster:10.8-27.1px | Years:2
1760244362379 | 127% | scale:1.04 | painterZoom:1.27 | LVL1-Yearly→LVL2-Monthly | Single:12.5-31.3px | Cluster:10.8-27.1px | Years:2
1760244362379 | 127% | scale:1.04 | painterZoom:1.27 | LVL1-Yearly→LVL2-Monthly | Single:12.5-31.3px | Cluster:10.8-27.1px | Years:2
1760244362379 | 127% | scale:1.04 | painterZoom:1.27 | LVL1-Yearly→LVL2-Monthly | Single:12.5-31.3px | Cluster:10.8-27.1px | Years:2
1760244362383 | 129% | scale:1.06 | painterZoom:1.29 | LVL1-Yearly→LVL2-Monthly | Single:12.7-31.7px | Cluster:11.0-27.5px | Years:2
1760244362383 | 129% | scale:1.06 | painterZoom:1.29 | LVL1-Yearly→LVL2-Monthly | Single:12.7-31.7px | Cluster:11.0-27.5px | Years:2
1760244362383 | 129% | scale:1.06 | painterZoom:1.29 | LVL1-Yearly→LVL2-Monthly | Single:12.7-31.8px | Cluster:11.0-27.5px | Years:2
1760244362383 | 129% | scale:1.06 | painterZoom:1.29 | LVL1-Yearly→LVL2-Monthly | Single:12.7-31.8px | Cluster:11.0-27.5px | Years:2
1760244362392 | 131% | scale:1.07 | painterZoom:1.31 | LVL1-Yearly→LVL2-Monthly | Single:12.9-32.1px | Cluster:11.1-27.9px | Years:2
1760244362392 | 131% | scale:1.07 | painterZoom:1.31 | LVL1-Yearly→LVL2-Monthly | Single:12.9-32.1px | Cluster:11.1-27.9px | Years:2
1760244362392 | 131% | scale:1.07 | painterZoom:1.31 | LVL1-Yearly→LVL2-Monthly | Single:12.9-32.1px | Cluster:11.1-27.9px | Years:2
1760244362400 | 132% | scale:1.09 | painterZoom:1.32 | LVL1-Yearly→LVL2-Monthly | Single:13.0-32.6px | Cluster:11.3-28.2px | Years:2
1760244362400 | 132% | scale:1.09 | painterZoom:1.32 | LVL1-Yearly→LVL2-Monthly | Single:13.0-32.6px | Cluster:11.3-28.2px | Years:2
1760244362400 | 132% | scale:1.09 | painterZoom:1.32 | LVL1-Yearly→LVL2-Monthly | Single:13.0-32.6px | Cluster:11.3-28.2px | Years:2
1760244362412 | 134% | scale:1.10 | painterZoom:1.34 | LVL1-Yearly→LVL2-Monthly | Single:13.1-32.9px | Cluster:11.4-28.5px | Years:2
1760244362412 | 134% | scale:1.10 | painterZoom:1.34 | LVL1-Yearly→LVL2-Monthly | Single:13.1-32.9px | Cluster:11.4-28.5px | Years:2
1760244362417 | 135% | scale:1.10 | painterZoom:1.35 | LVL1-Yearly→LVL2-Monthly | Single:13.3-33.1px | Cluster:11.5-28.7px | Years:2
1760244362417 | 135% | scale:1.10 | painterZoom:1.35 | LVL1-Yearly→LVL2-Monthly | Single:13.3-33.1px | Cluster:11.5-28.7px | Years:2
1760244362417 | 135% | scale:1.11 | painterZoom:1.35 | LVL1-Yearly→LVL2-Monthly | Single:13.3-33.2px | Cluster:11.5-28.8px | Years:2
1760244362417 | 135% | scale:1.11 | painterZoom:1.35 | LVL1-Yearly→LVL2-Monthly | Single:13.3-33.2px | Cluster:11.5-28.8px | Years:2
1760244362426 | 136% | scale:1.12 | painterZoom:1.36 | LVL1-Yearly→LVL2-Monthly | Single:13.4-33.5px | Cluster:11.6-29.0px | Years:2
1760244362426 | 136% | scale:1.12 | painterZoom:1.36 | LVL1-Yearly→LVL2-Monthly | Single:13.4-33.5px | Cluster:11.6-29.0px | Years:2
1760244362434 | 137% | scale:1.13 | painterZoom:1.37 | LVL1-Yearly→LVL2-Monthly | Single:13.5-33.8px | Cluster:11.7-29.3px | Years:2
1760244362434 | 137% | scale:1.13 | painterZoom:1.37 | LVL1-Yearly→LVL2-Monthly | Single:13.5-33.8px | Cluster:11.7-29.3px | Years:2
1760244362434 | 137% | scale:1.13 | painterZoom:1.37 | LVL1-Yearly→LVL2-Monthly | Single:13.5-33.8px | Cluster:11.7-29.3px | Years:2
1760244362434 | 137% | scale:1.13 | painterZoom:1.37 | LVL1-Yearly→LVL2-Monthly | Single:13.5-33.8px | Cluster:11.7-29.3px | Years:2
1760244362452 | 140% | scale:1.15 | painterZoom:1.40 | LVL1-Yearly→LVL2-Monthly | Single:13.8-34.4px | Cluster:11.9-29.8px | Years:2
1760244362452 | 140% | scale:1.15 | painterZoom:1.40 | LVL1-Yearly→LVL2-Monthly | Single:13.8-34.4px | Cluster:11.9-29.8px | Years:2
1760244362452 | 140% | scale:1.15 | painterZoom:1.40 | LVL1-Yearly→LVL2-Monthly | Single:13.8-34.5px | Cluster:12.0-29.9px | Years:2
1760244362452 | 140% | scale:1.15 | painterZoom:1.40 | LVL1-Yearly→LVL2-Monthly | Single:13.8-34.5px | Cluster:12.0-29.9px | Years:2
1760244362459 | 141% | scale:1.16 | painterZoom:1.41 | LVL1-Yearly→LVL2-Monthly | Single:13.9-34.8px | Cluster:12.1-30.2px | Years:2
1760244362459 | 141% | scale:1.16 | painterZoom:1.41 | LVL1-Yearly→LVL2-Monthly | Single:13.9-34.8px | Cluster:12.1-30.2px | Years:2
1760244362459 | 142% | scale:1.16 | painterZoom:1.42 | LVL1-Yearly→LVL2-Monthly | Single:14.0-34.9px | Cluster:12.1-30.2px | Years:2
1760244362459 | 142% | scale:1.16 | painterZoom:1.42 | LVL1-Yearly→LVL2-Monthly | Single:14.0-34.9px | Cluster:12.1-30.2px | Years:2
1760244362470 | 143% | scale:1.18 | painterZoom:1.43 | LVL1-Yearly→LVL2-Monthly | Single:14.1-35.3px | Cluster:12.2-30.6px | Years:2
1760244362470 | 143% | scale:1.18 | painterZoom:1.43 | LVL1-Yearly→LVL2-Monthly | Single:14.1-35.3px | Cluster:12.2-30.6px | Years:2
1760244362475 | 145% | scale:1.19 | painterZoom:1.45 | LVL1-Yearly→LVL2-Monthly | Single:14.3-35.7px | Cluster:12.4-30.9px | Years:2
1760244362475 | 145% | scale:1.19 | painterZoom:1.45 | LVL1-Yearly→LVL2-Monthly | Single:14.3-35.7px | Cluster:12.4-30.9px | Years:2
1760244362475 | 145% | scale:1.19 | painterZoom:1.45 | LVL1-Yearly→LVL2-Monthly | Single:14.3-35.7px | Cluster:12.4-31.0px | Years:2
1760244362475 | 145% | scale:1.19 | painterZoom:1.45 | LVL1-Yearly→LVL2-Monthly | Single:14.3-35.7px | Cluster:12.4-31.0px | Years:2
1760244362483 | 147% | scale:1.21 | painterZoom:1.47 | LVL1-Yearly→LVL2-Monthly | Single:14.5-36.2px | Cluster:12.5-31.4px | Years:2
1760244362483 | 147% | scale:1.21 | painterZoom:1.47 | LVL1-Yearly→LVL2-Monthly | Single:14.5-36.2px | Cluster:12.5-31.4px | Years:2
1760244362483 | 147% | scale:1.21 | painterZoom:1.47 | LVL1-Yearly→LVL2-Monthly | Single:14.5-36.2px | Cluster:12.6-31.4px | Years:2
1760244362483 | 147% | scale:1.21 | painterZoom:1.47 | LVL1-Yearly→LVL2-Monthly | Single:14.5-36.2px | Cluster:12.6-31.4px | Years:2
1760244362492 | 149% | scale:1.22 | painterZoom:1.49 | LVL1-Yearly→LVL2-Monthly | Single:14.7-36.7px | Cluster:12.7-31.8px | Years:2
1760244362492 | 149% | scale:1.22 | painterZoom:1.49 | LVL1-Yearly→LVL2-Monthly | Single:14.7-36.7px | Cluster:12.7-31.8px | Years:2
1760244362492 | 149% | scale:1.23 | painterZoom:1.49 | LVL1-Yearly→LVL2-Monthly | Single:14.7-36.8px | Cluster:12.7-31.9px | Years:2
1760244362492 | 149% | scale:1.23 | painterZoom:1.49 | LVL1-Yearly→LVL2-Monthly | Single:14.7-36.8px | Cluster:12.7-31.9px | Years:2
1760244362505 | 152% | scale:1.25 | painterZoom:1.52 | LVL1-Yearly→LVL2-Monthly | Single:15.0-37.4px | Cluster:13.0-32.4px | Years:2
1760244362506 | 152% | scale:1.25 | painterZoom:1.52 | LVL1-Yearly→LVL2-Monthly | Single:15.0-37.4px | Cluster:13.0-32.4px | Years:2
1760244362508 | 155% | scale:1.27 | painterZoom:1.55 | LVL1-Yearly→LVL2-Monthly | Single:15.2-38.0px | Cluster:13.2-33.0px | Years:2
1760244362508 | 155% | scale:1.27 | painterZoom:1.55 | LVL1-Yearly→LVL2-Monthly | Single:15.2-38.0px | Cluster:13.2-33.0px | Years:2
1760244362508 | 155% | scale:1.27 | painterZoom:1.55 | LVL1-Yearly→LVL2-Monthly | Single:15.2-38.1px | Cluster:13.2-33.0px | Years:2
1760244362508 | 155% | scale:1.27 | painterZoom:1.55 | LVL1-Yearly→LVL2-Monthly | Single:15.2-38.1px | Cluster:13.2-33.0px | Years:2
1760244362517 | 158% | scale:1.29 | painterZoom:1.58 | LVL1-Yearly→LVL2-Monthly | Single:15.5-38.7px | Cluster:13.4-33.6px | Years:2
1760244362517 | 158% | scale:1.29 | painterZoom:1.58 | LVL1-Yearly→LVL2-Monthly | Single:15.5-38.7px | Cluster:13.4-33.6px | Years:2
1760244362517 | 158% | scale:1.29 | painterZoom:1.58 | LVL1-Yearly→LVL2-Monthly | Single:15.5-38.8px | Cluster:13.4-33.6px | Years:2
1760244362517 | 158% | scale:1.29 | painterZoom:1.58 | LVL1-Yearly→LVL2-Monthly | Single:15.5-38.8px | Cluster:13.4-33.6px | Years:2
1760244362525 | 160% | scale:1.31 | painterZoom:1.60 | LVL1-Yearly→LVL2-Monthly | Single:15.7-39.4px | Cluster:13.6-34.1px | Years:2
1760244362525 | 160% | scale:1.31 | painterZoom:1.60 | LVL1-Yearly→LVL2-Monthly | Single:15.7-39.4px | Cluster:13.6-34.1px | Years:2
1760244362533 | 163% | scale:1.33 | painterZoom:1.63 | LVL1-Yearly→LVL2-Monthly | Single:16.0-40.0px | Cluster:13.9-34.6px | Years:2
1760244362533 | 163% | scale:1.33 | painterZoom:1.63 | LVL1-Yearly→LVL2-Monthly | Single:16.0-40.0px | Cluster:13.9-34.6px | Years:2
1760244362533 | 163% | scale:1.33 | painterZoom:1.63 | LVL1-Yearly→LVL2-Monthly | Single:16.0-40.0px | Cluster:13.9-34.6px | Years:2
1760244362533 | 163% | scale:1.33 | painterZoom:1.63 | LVL1-Yearly→LVL2-Monthly | Single:16.0-40.0px | Cluster:13.9-34.6px | Years:2
1760244362542 | 165% | scale:1.35 | painterZoom:1.65 | LVL1-Yearly→LVL2-Monthly | Single:16.2-40.6px | Cluster:14.1-35.1px | Years:2
1760244362542 | 165% | scale:1.35 | painterZoom:1.65 | LVL1-Yearly→LVL2-Monthly | Single:16.2-40.6px | Cluster:14.1-35.1px | Years:2
1760244362542 | 165% | scale:1.35 | painterZoom:1.65 | LVL1-Yearly→LVL2-Monthly | Single:16.2-40.6px | Cluster:14.1-35.1px | Years:2
1760244362551 | 167% | scale:1.37 | painterZoom:1.67 | LVL1-Yearly→LVL2-Monthly | Single:16.4-41.0px | Cluster:14.2-35.5px | Years:2
1760244362551 | 167% | scale:1.37 | painterZoom:1.67 | LVL1-Yearly→LVL2-Monthly | Single:16.4-41.0px | Cluster:14.2-35.5px | Years:2
1760244362551 | 167% | scale:1.37 | painterZoom:1.67 | LVL1-Yearly→LVL2-Monthly | Single:16.4-41.0px | Cluster:14.2-35.5px | Years:2
1760244362551 | 167% | scale:1.37 | painterZoom:1.67 | LVL1-Yearly→LVL2-Monthly | Single:16.4-41.0px | Cluster:14.2-35.5px | Years:2
1760244362559 | 168% | scale:1.38 | painterZoom:1.68 | LVL1-Yearly→LVL2-Monthly | Single:16.6-41.4px | Cluster:14.4-35.9px | Years:2
1760244362559 | 168% | scale:1.38 | painterZoom:1.68 | LVL1-Yearly→LVL2-Monthly | Single:16.6-41.4px | Cluster:14.4-35.9px | Years:2
1760244362559 | 168% | scale:1.38 | painterZoom:1.68 | LVL1-Yearly→LVL2-Monthly | Single:16.6-41.4px | Cluster:14.4-35.9px | Years:2
1760244362559 | 168% | scale:1.38 | painterZoom:1.68 | LVL1-Yearly→LVL2-Monthly | Single:16.6-41.4px | Cluster:14.4-35.9px | Years:2
1760244362567 | 170% | scale:1.40 | painterZoom:1.70 | LVL1-Yearly→LVL2-Monthly | Single:16.8-41.9px | Cluster:14.5-36.3px | Years:2
1760244362567 | 170% | scale:1.40 | painterZoom:1.70 | LVL1-Yearly→LVL2-Monthly | Single:16.8-41.9px | Cluster:14.5-36.3px | Years:2
1760244362575 | 172% | scale:1.41 | painterZoom:1.72 | LVL1-Yearly→LVL2-Monthly | Single:16.9-42.3px | Cluster:14.7-36.7px | Years:2
1760244362575 | 172% | scale:1.41 | painterZoom:1.72 | LVL1-Yearly→LVL2-Monthly | Single:16.9-42.3px | Cluster:14.7-36.7px | Years:2
1760244362575 | 172% | scale:1.41 | painterZoom:1.72 | LVL1-Yearly→LVL2-Monthly | Single:16.9-42.3px | Cluster:14.7-36.7px | Years:2
1760244362575 | 172% | scale:1.41 | painterZoom:1.72 | LVL1-Yearly→LVL2-Monthly | Single:16.9-42.3px | Cluster:14.7-36.7px | Years:2
1760244362583 | 174% | scale:1.43 | painterZoom:1.74 | LVL1-Yearly→LVL2-Monthly | Single:17.1-42.8px | Cluster:14.8-37.1px | Years:2
1760244362583 | 174% | scale:1.43 | painterZoom:1.74 | LVL1-Yearly→LVL2-Monthly | Single:17.1-42.8px | Cluster:14.8-37.1px | Years:2
1760244362583 | 174% | scale:1.43 | painterZoom:1.74 | LVL1-Yearly→LVL2-Monthly | Single:17.1-42.8px | Cluster:14.8-37.1px | Years:2
1760244362583 | 174% | scale:1.43 | painterZoom:1.74 | LVL1-Yearly→LVL2-Monthly | Single:17.1-42.8px | Cluster:14.8-37.1px | Years:2
1760244362593 | 176% | scale:1.44 | painterZoom:1.76 | LVL1-Yearly→LVL2-Monthly | Single:17.3-43.3px | Cluster:15.0-37.5px | Years:2
1760244362593 | 176% | scale:1.44 | painterZoom:1.76 | LVL1-Yearly→LVL2-Monthly | Single:17.3-43.3px | Cluster:15.0-37.5px | Years:2
1760244362593 | 176% | scale:1.44 | painterZoom:1.76 | LVL1-Yearly→LVL2-Monthly | Single:17.3-43.3px | Cluster:15.0-37.5px | Years:2
1760244362593 | 176% | scale:1.44 | painterZoom:1.76 | LVL1-Yearly→LVL2-Monthly | Single:17.3-43.3px | Cluster:15.0-37.5px | Years:2
1760244362612 | 178% | scale:1.46 | painterZoom:1.78 | LVL1-Yearly→LVL2-Monthly | Single:17.6-43.9px | Cluster:15.2-38.0px | Years:2
1760244362612 | 178% | scale:1.46 | painterZoom:1.78 | LVL1-Yearly→LVL2-Monthly | Single:17.6-43.9px | Cluster:15.2-38.0px | Years:2
1760244362612 | 178% | scale:1.46 | painterZoom:1.78 | LVL1-Yearly→LVL2-Monthly | Single:17.6-43.9px | Cluster:15.2-38.0px | Years:2
1760244362612 | 178% | scale:1.46 | painterZoom:1.78 | LVL1-Yearly→LVL2-Monthly | Single:17.6-43.9px | Cluster:15.2-38.0px | Years:2
1760244362613 | 181% | scale:1.48 | painterZoom:1.81 | LVL1-Yearly→LVL2-Monthly | Single:17.8-44.5px | Cluster:15.4-38.6px | Years:2
1760244362614 | 181% | scale:1.48 | painterZoom:1.81 | LVL1-Yearly→LVL2-Monthly | Single:17.8-44.5px | Cluster:15.4-38.6px | Years:2
1760244362614 | 181% | scale:1.49 | painterZoom:1.81 | LVL1-Yearly→LVL2-Monthly | Single:17.8-44.6px | Cluster:15.5-38.6px | Years:2
1760244362614 | 181% | scale:1.49 | painterZoom:1.81 | LVL1-Yearly→LVL2-Monthly | Single:17.8-44.6px | Cluster:15.5-38.6px | Years:2
1760244362617 | 184% | scale:1.51 | painterZoom:1.84 | LVL1-Yearly→LVL2-Monthly | Single:18.1-45.2px | Cluster:15.7-39.2px | Years:2
1760244362617 | 184% | scale:1.51 | painterZoom:1.84 | LVL1-Yearly→LVL2-Monthly | Single:18.1-45.2px | Cluster:15.7-39.2px | Years:2
1760244362617 | 184% | scale:1.51 | painterZoom:1.84 | LVL1-Yearly→LVL2-Monthly | Single:18.1-45.2px | Cluster:15.7-39.2px | Years:2
1760244362617 | 184% | scale:1.51 | painterZoom:1.84 | LVL1-Yearly→LVL2-Monthly | Single:18.1-45.2px | Cluster:15.7-39.2px | Years:2
1760244362625 | 187% | scale:1.53 | painterZoom:1.87 | LVL1-Yearly→LVL2-Monthly | Single:18.3-45.9px | Cluster:15.9-39.8px | Years:2
